,,,,"//==================================
// enemy names
//==================================",,,
string,str-0x256D,,,呪い火,Curse Fire,,
string,str-0x2574,,,よろいスライム,Armored Slime,,
string,str-0x2583,,,鬼ババ,Onibaba,,
string,str-0x258A,,,ドロウ,Tulou,ZenkiTN: this is a creature from Chinese folklore,
string,str-0x2591,,,ジャコウ,Jakou,ZenkiTN: I couldn't find any mentions of this being an actual creatore from myths. The only mention I could find is a blog talking about how this is a recolor of the Tulou in this game.,
string,str-0x259A,,,怒鬼,Doki,ZenkiTN: this enemy is also unused,
string,str-0x259F,,,邪鬼,Jaki,,
string,str-0x25A4,,,賞金かせぎ,Bounty Hunter,ZenkiTN: this enemy is also unused,
string,str-0x25AF,,,しびと侍,Samurai Corpse,,
string,str-0x25B8,,,カマイタチ,Kamaitachi,,
string,str-0x25C3,,,クビキリイタチ,Beheading Weasel,,
string,str-0x25D2,,,スケルトン,Skeleton,,
string,str-0x25DD,,,アンデッド,Undead,,
string,str-0x25E8,,,ボーンゴーレム,Bone Golem,,
string,str-0x25F7,,,ゾンビ,Zombie,,
string,str-0x25FE,,,リビングデッド,Living Dead,,
string,str-0x260D,,,シキガミ,Shikigami,,
string,str-0x2616,,,ヤコウ,Yakou,,
string,str-0x261D,,,牛鬼,Ushi-oni,,
string,str-0x2622,,,兵隊ネズミ,Rat Soldier,,
string,str-0x262D,,,よろいネズミ,Armored Rat,,
string,str-0x263A,,,大門鬼,Daimon Oni,,
string,str-0x2641,,,鬼兵士,Oni Soldier,ZenkiTN: this enemy is also unused,
string,str-0x2648,,,鬼侍,Oni Samurai,,
string,str-0x264D,,,殺人鬼,Killer Oni,ZenkiTN: this enemy is also unused,
string,str-0x2654,,,冥府の鬼,Hell Oni,,
string,str-0x265D,,,黒鬼,Black Oni,,
string,str-0x2662,,,ヤシャ,Yasha,,
string,str-0x2669,,,鬼ダイショウ,Oni Chief,,
string,str-0x2676,,,ベニグモ,Benigumo,ZenkiTN: this enemy is also unused,
string,str-0x267F,,,クモ男,Spider Man,ZenkiTN: no hyphen!,
string,str-0x2686,,,クモ兵士,Spider Soldier,,
string,str-0x268F,,,鬼グモ,Onigumo,ZenkiTN: this enemy is also unused,
string,str-0x2696,,,大門僧,Daimon Priest,,
string,str-0x269D,,,大門僧正,Daimon Bishop,,
string,str-0x26A6,,,ごほう童子,Daimon Acolyte,,
string,str-0x26B1,,,ノブスマ,Nobusuma,,
string,str-0x26BA,,,サトリ,Satori,,
string,str-0x26C1,,,キツネつき,Kitsunetsuki,,
string,str-0x26CC,,,呪いギツネ,Curse Kitsune,"ZenkiTN: I'm translating this as ""curse"" and not ""cursed"", because it's not a kitsune that has been cursed, but one that might curse you. If I wrote ""cursing"" it might seem like the kitsune swears a lot lol. There are multiple enemies with a ""Curse"" variant",
string,str-0x26D7,,,はぐれオオカミ,Lone Wolf,,
string,str-0x26E6,,,地獄の番犬,Infernal Hound,,
string,str-0x26F1,,,大かむろ,Ookamuro,,
string,str-0x26FA,,,おばけダヌキ,Obake-danuki,,
string,str-0x2707,,,辻斬り,Murderer,ZenkiTN: Tsujigiri is the act of killing a random passerby to test your new sword. This is more of a psychopath than an assassin.,
string,str-0x270E,,,ガキ,Gaki,,
string,str-0x2713,,,スダマ,Sudama,,
string,str-0x271A,,,やまんば,Yamanba,,
string,str-0x2723,,,オーク,Orc,,
string,str-0x272A,,,キングオーク,King Orc,,
string,str-0x2737,,,ワイラ,Waira,,
string,str-0x273E,,,山鬼,Yama-oni,,
string,str-0x2743,,,鬼神,Kijin,,
string,str-0x2748,,,あくま大僧正,Devil Priest,ZenkiTN: this enemy is also unused,
string,str-0x2755,,,ゾンビマスター,Zombie Master,,
string,str-0x2764,,,いくさネズミ,Battle Rat,,
string,str-0x2771,,,とうもくネズミ,Rat Chief,,
string,str-0x2780,,,しびと食らい,Corpse Eater,ZenkiTN: this enemy is also unused,
string,str-0x278D,,,呪いザル,Curse Monkey,,
string,str-0x2796,,,大ザル,Giant Monkey,,
string,str-0x279D,,,手負いグマ,Wounded Bear,ZenkiTN: because a wounded bear is highly dangerous,
string,str-0x27A8,,,殺人グマ,Killer Bear,,
string,str-0x27B8,,,ヘルドッグ,Hell Dog,,
string,str-0x27C3,,,ゴブリン,Goblin,,
string,str-0x27CC,,,ホブゴブリン,Hobgoblin,,
string,str-0x27D9,,,コボルト,Kobold,,
string,str-0x27E2,,,チーフコボルト,Kobold Chief,,
string,str-0x27F1,,,アミーバ,Amoeba,,
string,str-0x27FA,,,人喰いアミーバ,Man-eating Amoeba,,
string,str-0x2809,,,ツチグモ,Tsuchigumo,,
string,str-0x2812,,,大グモ,Oogumo,ZenkiTN: this enemy is also unused,
string,str-0x2819,,,泥入道,Doro-nyuudou,"ZenkiTN: a nyuudou is, generally speaking, a large monster. There are many monsters in Japanese folklore called something-nyuudou.",
string,str-0x2820,,,鬼火,Onibi,,
string,str-0x2825,,,土おとこ,Mud Man,,
string,str-0x282E,,,ウワバミ,Uwabami,,
string,str-0x2837,,,サラマンダー,Salamander,,
string,str-0x2844,,,吸血コウモリ,Bloodsucker,,
string,str-0x2851,,,バンパイア,Vampire,,
string,str-0x285C,,,ツチミカド,Tsuchimikado,,
string,str-0x2867,,,じごくの炎,Hellfire,,
string,str-0x2872,,,水魔人,Water Djinn,,
string,str-0x2879,,,ミイラ,Mummy,,
string,str-0x2880,,,氷雪ミイラ,Blizzard Mummy,,
string,str-0x288B,,,火炎ミイラ,Blaze Mummy,,
string,str-0x2896,,,メイジゴブリン,Goblin Mage,,
string,str-0x28A5,,,キングコボルト,Kobold King,,
string,str-0x28B4,,,毒ムカデ,Poison Centipede,,
string,str-0x28BD,,,やみムカデ,Darkness Centipede,,
string,str-0x28C8,,,土偶ロボ,Doguu Robot,,
string,str-0x28D1,,,大ムカデ,Giant Centipede,,
string,str-0x28DA,,,沼ボウズ,Bog Creature,,
string,str-0x28E3,,,土偶ロボ改,Doguu Robot Custom,,
string,str-0x28EE,,,キマイラー,Chimera,,
string,str-0x2900,,,猫又,Nekomata,,
string,str-0x290C,,,ヤト,Yato,,
string,str-0x2911,,,鬼岩人,Rock Golem,,
string,str-0x2918,,,ヌエ,Nue,,
string,str-0x291D,,,ララ,Rahrah,,
string,str-0x2922,,,カラクリ兵,Clockwork Soldier,,
string,str-0x292D,,,モウリョウ,Mouryou,,
string,str-0x2938,,,大ダヌキ,Oodanuki,,
string,str-0x2941,,,ゴーモン,Goumon,,
string,str-0x294A,,,タマモ姫,Tamamohime,,
string,str-0x2953,,,タマモ姫,Tamamohime,DUPE: F135,
string,str-0x295C,,,キュウビ,Kyuubi,,
string,str-0x2965,,,あくろう王,King Akurou,,
string,str-0x2970,,,ダンジョウ,Danjou,,
string,str-0x297B,,,ダンジョウ,Danjou,DUPE: F139,
string,str-0x2986,,,ダンジョウ,Danjou,DUPE: F139,
string,str-0x2991,,,ハーメルン,Hamelin,,
string,str-0x299C,,,カーメンカーメン,Khamen Khamen,,
string,str-0x29AD,,,カーメンカーメン,Khamen Khamen,DUPE: F143,
string,str-0x29BE,,,マントー,Manto,,
string,str-0x29CE,,,ドーマン,Douman,,
string,str-0x29D7,,,タランチェ,Tarantul,,
string,str-0x29E2,,,ゴーヨック,Gouyokku,,
string,str-0x29ED,,,カーミラ,Carmilla,,
string,str-0x29F6,,,ムテキオー,Mutekiou,,
string,str-0x2A01,,,水王丸,Suioumaru,,
string,str-0x2A08,,,クラーケン,Kraken,,
string,str-0x2A13,,,泥黒鬼,Deikokuki,,
string,str-0x2A1A,,,暗鉄鬼,Antetsuki,,
string,str-0x2A21,,,銀老鬼,Ginrouki,,
string,str-0x2A28,,,金剛鬼,Kongouki,,
string,str-0x2A2F,,,幻王丸,Genoumaru,,
string,str-0x2A36,,,ベリエル,Beliel,,
string,str-0x2A3F,,,マサカド,Masakado,,
string,str-0x2A48,,,ルシフェラー,Lucifeller,,
string,str-0x2A55,,,新カラクリ兵,New Clockwork Soldier,,
string,str-0x2A62,,,タヌキの金太,Kinta the Tanuki,,
string,str-0x2A6F,,,タヌキボクデン,Tanuki Bokuden,,
string,str-0x2A7E,,,タヌキジライア,Tanuki Ziria,,
string,str-0x2A8D,,,タヌキ黄門,Tanuki Koumon,,
string,str-0x2A98,,,タヌキガマ仙人,Tanuki Toad Hermit,,
string,str-0x2AA7,,,大ダヌキ,Oodanuki,DUPE: F133,
string,str-0x2AB0,,,ゴーヨック,Gouyokku,DUPE: F148,
string,str-0x2ABB,,,キュウビの霊,Spirit of Kyuubi,"ZenkiTN: I'm going for ""Spirit of"" because that way it's the first part you read and it's consistent through all boss reruns. It could be soul, spirit, even ghost. I think ""Ghost of"" might be cool, too.",
string,str-0x2AC8,,,ハーメルンの霊,Spirit of Hamelin,,
string,str-0x2AD7,,,カーメンカーメンの霊,Spirit of Khamen Khamen,"ZenkiTN: is this too long?
Supper: probably not? i hope?",
string,str-0x2AEC,,,マントーの霊,Spirit of Manto,ZenkiTN: Manto isn't dead though...,
string,str-0x2AF9,,,ドーマンの霊,Spirit of Douman,,
string,str-0x2B06,,,タランチェの霊,Spirit of Tarantul,,
string,str-0x2B15,,,ゴーヨックの霊,Spirit of Gouyokku,,
string,str-0x2B24,,,カーミラの霊,Spirit of Carmilla,,
string,str-0x2B31,,,ムテキオー,Mutekiou,DUPE: F150,
string,str-0x2B3C,,,クラーケンの霊,Spirit of Kraken,,
string,str-0x2B4B,,,ベリエルの霊,Spirit of Beliel,,
string,str-0x2B58,,,邪神斎,Jashinsai,,
string,str-0x2B5F,,,ルシフェラー,Lucifeller,DUPE: F160,
string,str-0x2B6C,,,ボクデン,Bokuden,,
string,str-0x2B75,,,ムサシ,Musashi,,
string,str-0x2B7C,,,ジュウベイ,Juubei,,
string,str-0x2B87,,,シュウサク,Shuusaku,,
string,str-0x2B92,,,水魔人,Water Djinn,DUPE: F113,
string,str-0x2B99,,,カラクリ兵,Clockwork Soldier,DUPE: F131,
string,str-0x2BA4,,,ゴーモンの霊,Spirit of Goumon,,
string,str-0x2BB1,,,タヌキの金太,Kinta the Tanuki,DUPE: F162,
string,str-0x2BBE,,,ムテキオーの霊,Spirit of Mutekiou,,
