,,,,"//==================================
// credits
//==================================",,,
string,str-0x194,,,塩屋浩三,Kozo Shioya,,
string,str-0x1A0,,,渡辺菜生子,Naoko Watanabe,,
string,str-0x1AF,,,塩屋　翼,Yoku Shioya,,
string,str-0x1BB,,,佐藤正治,Masaharu Sato,,
string,str-0x1C7,,,戸谷公次,Koji Totani,,
string,str-0x1D3,,,片石千春,Chiharu Kataishi,,
string,str-0x1DF,,,平野正人,Masato Hirano,,
string,str-0x1EC,,,特別出演,Guest Performances,,
string,str-0x1F8,,,大竹まこと,Makoto Otake,,
string,str-0x206,,,永井真理子,Mariko Nagai,,
string,str-0x214,,,横山智左,Chisa Yokoyama,"NOTE: god, did Red Company just put her in every game they made?",
string,str-0x221,,,美術監督,Art Director,,
string,str-0x22D,,,辻野寅次郎,Torajiro Tsujino,,
string,str-0x23C,,,グラフィック監修,Graphic Supervisors,,
string,str-0x250,,,岡本敏郎,Toshiro Okamoto,,
string,str-0x25C,,,進藤　司,Tsukasa Shindo,,
string,str-0x269,,,原画,Artwork,,
string,str-0x271,,,辻野芳輝,Yoshiteru Tsujino,,
string,str-0x27D,,,堤　八郎,Hachiro Tsutsumi,,
string,str-0x289,,,相庭よた郎,Yotaro Aiba,,
string,str-0x298,,,背景,Backgrounds,,
string,str-0x2A0,,,アトリエ・ラスコー,Atelier Lascaux,,
string,str-0x2B7,,,音楽監督,Music Director,,
string,str-0x2C3,,,中神紀之,Noriyuki Nakagami,,
string,str-0x2D0,,,音楽,Music,,
string,str-0x2D8,,,小久保　隆,Takashi Kokubo,,
string,str-0x2E7,,,成田　忍,Shinobu Narita,,
string,str-0x2F3,,,荒殿　卓,Takashi Aratono,,
string,str-0x2FF,,,越水　淳,Jun Utemi,,
string,str-0x30C,,,松本かよ,Kayo Matsumoto,,
string,str-0x318,,,山口高志,Takashi Yamaguchi,,
string,str-0x325,,,マニュピレーター,Sound Creators,"NOTE: seems to be a typo of マニピュレーター. this is apparently a wasei-eigo term that means things like ""synthesizer programmer"", but since there's another section below which explicitly credits the ""sound programmers"", I'm not sure what these people's job actually was. Given that, I'll just go with Japanese Wikipedia's more generic suggestion of ""sound creator"" for now.",
string,str-0x339,,,小原　肇,Hajime Ohara,,
string,str-0x345,,,守尾　崇,Takashi Morio,,
string,str-0x352,,,助監督,Assistant Directors,,
string,str-0x35C,,,内村享人,Takato Uchimura,,
string,str-0x368,,,小林正樹,Masaki Kobayashi,,
string,str-0x374,,,高山昌也,Masaya Takayama,,
string,str-0x381,,,システム・プログラム,System Programmers,,
string,str-0x399,,,三上　哲,Satoshi Mikami,"NOTE: this guy's name appears in the august 1989 issue of Gekkan PC Engine, and the reading for his first name is listed as ""Tetsu"" rather than ""Satoshi"". this seems to be a mistake, however, as he's listed on numerous internationally-released games (e.g. pokemon card gb) as ""Satoshi"".",
string,str-0x3A5,,,菊池賢次,Kenji Kikuchi,,
string,str-0x3B2,,,ゲーム・プログラム,Game Programmers,,
string,str-0x3C8,,,中田伸一,Shinichi Nakata,,
string,str-0x3D4,,,山森正和,Masakazu Yamamori,,
string,str-0x3E1,,,サウンド・プログラム,Sound Programmers,,
string,str-0x3F9,,,滝本利昭,Toshiaki Takimoto,,
string,str-0x405,,,星　恵太,Keita Hoshi,,
string,str-0x411,,,岩淵貴幸,Takayuki Iwabuchi,,
string,str-0x41D,,,高橋克昇,Katsunori Takahashi,,
string,str-0x42A,,,マップ・デザイン,Map Designers,,
string,str-0x43E,,,藤本佳代,Kayo Fujimoto,,
string,str-0x44A,,,久保　久,Hisashi Kubo,,
string,str-0x457,,,アニメーション・デザイン,Animation Designers,,
string,str-0x473,,,進藤　司,Tsukasa Shindo,DUPE: F47,
string,str-0x47F,,,岡田寿夫,Hisao Okada,,
string,str-0x48B,,,佐藤　裕,Hiroshi Sato,"NOTE: mobygames lists this one guy with an ""ou"" instead of a macron vowel for some reason; dropping it for consistency",
string,str-0x497,,,武田真理,Mari Takeda,,
string,str-0x4A4,,,動画,Animation,,
string,str-0x4AC,,,岡本敏郎,Toshiro Okamoto,DUPE: F46,
string,str-0x4B8,,,松浦浩司,Koji Matsuura,,
string,str-0x4C4,,,輪島智美,Tomomi Wajima,,
string,str-0x4D0,,,佐々木伸,Shin Sasaki,,
string,str-0x4DC,,,藤井康博,Yasuhiro Fujii,,
string,str-0x4E9,,,ＳＩＦＣＡ,Sifca Corporation,,
string,str-0x4F7,,,CORPORATION,,,UNTRANSLATED
string,str-0x506,,,伊藤寿仁,Hisato Ito,,
string,str-0x512,,,大坪三栄子,Mieko Otsubo,,
string,str-0x521,,,ＲＥＤ,Red,,
string,str-0x52B,,,水谷謙之介,Kennosuke Mizutani,,
string,str-0x539,,,相庭博人,Hirohito Aiba,,
string,str-0x546,,,スーパーバイザー,Supervisors,,
string,str-0x55A,,,中本伸一,Shinichi Nakamoto,,
string,str-0x566,,,小林敬樹,Takaki Kobayashi,,
string,str-0x572,,,笹川敏幸,Toshiyuki Sasagawa,,
string,str-0x57E,,,飛田雅宏,Masahiro Tobita,,
string,str-0x58B,,,テクニカル・スタッフ,Technical Staff,,
string,str-0x5A3,,,野沢勝広,Katsuhiro Nozawa,,
string,str-0x5AF,,,本迫芳夫,Yoshio Motosako,,
string,str-0x5BB,,,小山俊典,Toshinori Oyama,,
string,str-0x5C7,,,松下和裕,Kazuhiro Matsushita,,
string,str-0x5D4,,,スペシャル　サンクス,Special Thanks,,
string,str-0x5EC,,,高野エマ,Ema Takano,,
string,str-0x5F8,,,広井栄二,Eiji Hiroi,,
string,str-0x604,,,野田一行,Kazuyuki Noda,,
string,str-0x610,,,吉川雄二,Yuji Yoshikawa,,
string,str-0x61D,,,家入多佳文,Takafumi Ieiri,,
string,str-0x62B,,,湯沢一毅,Kazuki Yuzawa,,
string,str-0x637,,,水谷　健,Takeshi Mizutani,,
string,str-0x643,,,まきのこうじ,Koji Makino,,
string,str-0x653,,,桑原美生,Mio Kuwabara,,
string,str-0x65F,,,福田正和,Masakazu Fukuda,,
string,str-0x66C,,,協力,Support,,
string,str-0x674,,,青二プロダクション,Aoni Production,,
string,str-0x68A,,,音響ハウス,Onkio House,,
string,str-0x698,,,キャブ,Cap,,
string,str-0x6A3,,,サンプロデュース,Sun Produce,,
string,str-0x6B7,,,スタジオイオン,Studio Ion,,
string,str-0x6C9,,,ティックタック,Tic Tac Publisher,,
string,str-0x6DB,,,パブリッシャー,,,UNTRANSLATED
string,str-0x6EE,,,東京ムービー新社,Tokyo Movie Shinsha,"NOTE: listed on mobygames as ""Tokyo Movie Shinbun"" for some wacky reason",
string,str-0x702,,,トラフイコ,Trafico,NOTE: ryuichi sakamoto's independent music label around the time this game was released (thanks to zenki for figuring this one out),
string,str-0x710,,,ミュージカル・プラン,Musical Plan,,
string,str-0x728,,,（五十音順）,(in alphabetical order),NOTE: I've modified the credits to put these in English alphabetical order for the translation.,
string,str-0x739,,,総監督,General Director,,
string,str-0x743,,,広井王子,Oji Hiroi,"NOTE: pretty sure I spelled this guy's name as ""Ouji"" throughout the Galaxy Fraulein Yuna series. oh well.",
