string,boss_0xAC9_win_0,,,"ま・・・まいりました！\n
どうかカンベンしてください\n
これはほんの気持ちでござる","I give up! Please forgive me! Here, take this!",,
,,,,"//==================================
// ??? altboss 0xACF dialogue?
//==================================",,,
,,,,"//=====
// intro
//=====",,,
string,boss_0xACF_intro_0,,,"[f7]<$D3>われこそは　たまも姫\n
口おしや！　よくもわれのたくらみを\n
ジャマをしてたもうたな！！",[f7]<$D3>I am Tamamohime! How dare you interfere with my scheme?!,,
string,boss_0xACF_intro_2,,,"小僧！　かくごしよ！\n
ギャオーン！","Prepare to die, you brat! ROAAAR!",,
,,,,"//==================================
// ??? altboss 0xAD0 dialogue?
//==================================",,,
,,,,"//=====
// intro
//=====",,,
string,boss_0xAD0_intro_0,,,"[f7]<$D4>コーン　コンコン！\n
われはこの世にかくれ住む\n
九尾の狐なり！","[f7]<$D4>Yip yiiip!\n
I am the nine-tailed fox, secretly living in this world!",,
string,boss_0xAD0_intro_2,,,"この姿　見たなー\n
生かしておかぬぞ！","Now that you've seen my true form, I cannot let you live!",,
,,,,"//=====
// player win
//=====",,,
string,boss_0xAD0_win_0,,,"[f7]<$D5>うううーん　くちおしや\n
われは殺硝石となりて\n
汝のゆくてにあだなさん！",[f7]<$D5>Urgh... Curse you... I shall become a Sesshouseki stone and block your way!,,
,,,,"//==================================
// ??? altboss 0xAD5 dialogue?
//==================================",,,
,,,,"//=====
// intro
//=====",,,
string,boss_0xAD5_intro_0,,,見たな〜,So you've seen it!,,
string,boss_0xAD5_intro_2,,,"今こそ我ら鬼族が\n
恨みをはらす戦の時\n
武器をそろえん！！",Now is the time for the Oni clan to gather our weapons and get our revenge!,,
string,boss_0xAD5_intro_4,,,"その為には何をおいても軍資金\n
安達ヶ原の一つ家は\n
事をなすためのワナと知れ",But war requires funds. The house in Adachigahara is a trap to acquire them!,,
,,,,"//==================================
// ??? altboss 0xAD9 dialogue?
//==================================",,,
,,,,"//=====
// intro
//=====",,,
string,boss_0xAD9_intro_0,,,"誰だ！ここは大門教の教会となったんだ\n
みだりに入る者には\n
バールダイモン様の天罰が下るぞ！","Who are you?! This is the church of the Cult of Daimon! Our God, Ba'al Daimon, will punish you for your impudence!",,
,,,,"//=====
// player win
//=====",,,
string,boss_0xAD9_win_0,,,ひえっ！覚えていろ！,Eeep! You'll pay for this!,,
,,,,"//==================================
// ??? altboss 0xAE0 dialogue?
//==================================",,,
,,,,"//=====
// intro
//=====",,,
string,boss_0xAE0_intro_0,,,"あなたは剣術を使いますね\n
夢想流居合いの術の創始者　林崎甚介！\n
一手お相手いたしましょう！","You appear to be a swordsman.\n
I am Hayashizaki Jinsuke, founder of the Musou Ryu Iaido! I wish to spar with you!",,
,,,,"//=====
// player lose
//=====",,,
string,boss_0xAE0_lose_0,,,"まだまだ修行がたりないようですね\n
また　来てください\n
いつでも　お相手いたしましょう","It appears you need more training.\n
Come back whenever you want.\n
I'll gladly give you a rematch.",,
,,,,"//=====
// player win
//=====",,,
string,boss_0xAE0_win_0,,,"みごとです　わたしのあみ出した\n
月崩しの技を教えましょう\n
しかしこの技を持っても弾正のネズミの","Well done! I will teach you my technique, the Moon Breaker. However, I'm afraid my technique won't be enough to deal with",,
string,boss_0xAE0_win_2,,,"妖術は破れないのです・・・\n
ネズミの妖術を破る方法を\n
何とか見つけなくては・・・",Danjou's rat magic. You'll have to find another way to break through his spells...,,
,,,,"//==================================
// ??? altboss 0xAE2 dialogue?
//==================================",,,
,,,,"//=====
// player lose
//=====",,,
string,boss_0xAE2_lose_0,,,"[f7]<$64>ガマがネズミに勝てるものか！\n
はははは・・・",[f7]<$64>A toad will never beat a rat! Bwahahaha!,,
,,,,"//=====
// player win
//=====",,,
string,boss_0xAE2_win_0,,,[f7]<$63>よ　よ　よくもーっ・・・,[f7]<$63>H-How dare you...!,,
,,,,"//==================================
// ??? altboss 0xAE4 dialogue?
//==================================",,,
,,,,"//=====
// player lose
//=====",,,
string,boss_0xAE4_lose_0,,,"[f7]<$3B>まだまだ力がたりぬなガマの者よ\n
ワシは何度でも受けてたつ\n
また来るがいい","[f7]<$3B>You're not strong enough, descendant of the Toad. Come back whenever you're ready.",,
,,,,"//=====
// player win
//=====",,,
string,boss_0xAE4_win_0,,,"[f7]<$3A>見事だ！\n
ガマ族の若者よ！\n
いやさ！自来也！","[f7]<$3A>A perfect display, descendant of the Toad -- No, Ziria!",,
string,boss_0xAE4_win_2,,,"人間どもが鬼と言うのは　おのが\n
邪悪な部分をうとましく思うがゆえ\n
我らを鬼と呼んで滅ぼそうとするのだ","Humans call us Oni because they hate their own wicked hearts, and they wish to make us their scapegoats.",,
string,boss_0xAE4_win_4,,,"ガマの者にも我らが血が流れておる\n
人間の卑劣さになじむなよ\n
これを持って行くがよい","Our blood flows in the veins of the Toad clan. Steer clear from human cowardice. Here, take this.",,
string,boss_0xAE4_win_6,,,"その鬼のはちがねが\n
おまえの身を守ってくれるだろう\n
さらばじゃ！　自来也！","May this Oni Headband protect you.\n
Farewell, Ziria!",,
,,,,"//==================================
// ??? altboss 0xAEE dialogue?
//==================================",,,
,,,,"//=====
// intro
//=====",,,
string,boss_0xAEE_intro_0,,,"眠りをさますのは誰ぞ\n
我は汝らがために\n
宝を守るものぞ！",Who has awakened me from my slumber? I am here to guard this treasure!,,
,,,,"//=====
// player win
//=====",,,
string,boss_0xAEE_win_0,,,"氷の巻物は戦闘でも使うことができるが\n
この陸奥を無事に抜けた後も\n
必要だろう",The ice scroll can also be used in battle. You may find it useful even after you leave Mutsu.,,
,,,,"//==================================
// ??? altboss 0xAF7 dialogue?
//==================================",,,
,,,,"//=====
// intro
//=====",,,
string,boss_0xAF7_intro_0,,,"おめェツガルアメ\n
持ってるだべエ！\n
くれェー！",You got some Tsugaru candy?! Gimme!,,
,,,,"//==================================
// ??? altboss 0xAF9 dialogue?
//==================================",,,
,,,,"//=====
// intro
//=====",,,
string,boss_0xAF9_intro_0,,,いくぜ！,Here we go!,,
,,,,"//=====
// player lose
//=====",,,
string,boss_0xAF9_lose_0,,,"どうってことないな\n
それじゃあ大門教に\n
勝てないぜ",That's it? You'll never beat the Cult of Daimon like this!,,
,,,,"//=====
// player win
//=====",,,
string,boss_0xAF9_win_0,,,"なかなかやるな・・・\n
大門教は手ごわいそうだぞ！\n
煙の巻だこいつをやろう！","Not bad! The Cult of Daimon is strong. Here, I'll give you the smokescreen scroll!",,
