"string","str-0x1AD5_29","","","秋に実をつける　リンゴの木や\n
栗の木も　菜の花も\n
みんな　燃やされっちまうのか！！","",,"=IF(F28=I28, ""UNTRANSLATED"", """")",""
"string","str-0x1AD5_33","","","そうじゃ！！","=T(F25)","=""DUPE: ""&ADDRESS(ROW(F25), COLUMN(F25), 4)",,
"string","str-0x1AD5_37","","","そんなやつ　ゆるしておけねえなあ！！","",,"=IF(F30=I30, ""UNTRANSLATED"", """")",""
"string","str-0x1AD5_41","","","うむ！！","",,"=IF(F31=I31, ""UNTRANSLATED"", """")",""
"string","str-0x1AD5_45","","","ジライア！！\n
それで　わしは　おまえに　今まで\n
苦しい修行を　あたえてきたのだ！！","",,"=IF(F32=I32, ""UNTRANSLATED"", """")",""
"string","str-0x1AD5_49","","","オイラに\n
マサカドってやつが\n
たおせるのか？","",,"=IF(F33=I33, ""UNTRANSLATED"", """")",""
"string","str-0x1AD5_53","","","おそらく・・・無理じゃろう","",,"=IF(F34=I34, ""UNTRANSLATED"", """")",""
"string","str-0x1AD5_57","","","だったら\n
なんで　オイラは\n
今まで　修行してきたんだよ！","",,"=IF(F35=I35, ""UNTRANSLATED"", """")",""
"string","str-0x1AD5_61","","","おまえ　ひとりでは\n
無理だと　いうことじゃ","",,"=IF(F36=I36, ""UNTRANSLATED"", """")",""
"string","str-0x1AD5_65","","","しかし　おまえと\n
同じ　さだめをもった者が\n
あと　ふたりおる","",,"=IF(F37=I37, ""UNTRANSLATED"", """")",""
"string","str-0x1AD5_69","","","この　ふたりと　力を合わせれば\n
マサカドの復活を\n
阻止することができるじゃろう！","",,"=IF(F38=I38, ""UNTRANSLATED"", """")",""
"string","str-0x1AD5_73","","","冗談じゃねえよ！！\n
マサカドなんてやつ\n
オイラ　ひとりで　十分だよ！","",,"=IF(F39=I39, ""UNTRANSLATED"", """")",""
"string","str-0x1AD5_77","","","ならば　行ってこい！！","",,"=IF(F40=I40, ""UNTRANSLATED"", """")",""
"string","str-0x1AD5_81","","","しかし　火の一族　ふたりと\n
力を合わせねば\n
マサカドには　たちむかえぬぞ！！","",,"=IF(F41=I41, ""UNTRANSLATED"", """")",""
"","","","","//==================================
// ending?
//==================================","","","",""
"string","str-0x2002_1","","","　　　ながい　戦いが　おわり\n
　　ジパングに　平和が　訪れた　　　","",,"=IF(F43=I43, ""UNTRANSLATED"", """")",""
"string","str-0x2050_1","","","　　　邪悪な　心が　消え去って\n
　　ふたたび　山や　川や　湖が\n
　　　輝きに　つつまれると","",,"=IF(F44=I44, ""UNTRANSLATED"", """")",""
"string","str-0x20B5_1","","","　　人々は　笑顔と　やさしさを\n
　　　　取り戻したのだった　　　　　","",,"=IF(F45=I45, ""UNTRANSLATED"", """")",""
"string","str-0x2105_1","","","　　　　　　　こうして\n
　　　　火の勇者の　活躍は","",,"=IF(F46=I46, ""UNTRANSLATED"", """")",""
"string","str-0x2105_5","","","　　　おおくの　人々の　心に\n
　　勇気と　愛と　根性の　力を　　　\n
ふかく　残していったのだった・・・","",,"=IF(F47=I47, ""UNTRANSLATED"", """")",""
"string","str-0x21B7_1","","","　　　そして　いつの日か・・・\n
　　　　平和が　あやういとき","",,"=IF(F48=I48, ""UNTRANSLATED"", """")",""
