"","","","","//==================================
// enemy names
//==================================","","","",""
"string","str-0x27F1","","","アミーバ","",,"=IF(F100=I100, ""UNTRANSLATED"", """")",""
"string","str-0x27FA","","","人喰いアミーバ","",,"=IF(F101=I101, ""UNTRANSLATED"", """")",""
"string","str-0x2809","","","ツチグモ","",,"=IF(F102=I102, ""UNTRANSLATED"", """")",""
"string","str-0x2812","","","大グモ","",,"=IF(F103=I103, ""UNTRANSLATED"", """")",""
"string","str-0x2819","","","泥入道","",,"=IF(F104=I104, ""UNTRANSLATED"", """")",""
"string","str-0x2820","","","鬼火","",,"=IF(F105=I105, ""UNTRANSLATED"", """")",""
"string","str-0x2825","","","土おとこ","",,"=IF(F106=I106, ""UNTRANSLATED"", """")",""
"string","str-0x282E","","","ウワバミ","",,"=IF(F107=I107, ""UNTRANSLATED"", """")",""
"string","str-0x2837","","","サラマンダー","",,"=IF(F108=I108, ""UNTRANSLATED"", """")",""
"string","str-0x2844","","","吸血コウモリ","",,"=IF(F109=I109, ""UNTRANSLATED"", """")",""
"string","str-0x2851","","","バンパイア","",,"=IF(F110=I110, ""UNTRANSLATED"", """")",""
"string","str-0x285C","","","ツチミカド","",,"=IF(F111=I111, ""UNTRANSLATED"", """")",""
"string","str-0x2867","","","じごくの炎","",,"=IF(F112=I112, ""UNTRANSLATED"", """")",""
"string","str-0x2872","","","水魔人","",,"=IF(F113=I113, ""UNTRANSLATED"", """")",""
"string","str-0x2879","","","ミイラ","",,"=IF(F114=I114, ""UNTRANSLATED"", """")",""
"string","str-0x2880","","","氷雪ミイラ","",,"=IF(F115=I115, ""UNTRANSLATED"", """")",""
"string","str-0x288B","","","火炎ミイラ","",,"=IF(F116=I116, ""UNTRANSLATED"", """")",""
"string","str-0x2896","","","メイジゴブリン","",,"=IF(F117=I117, ""UNTRANSLATED"", """")",""
"string","str-0x28A5","","","キングコボルト","",,"=IF(F118=I118, ""UNTRANSLATED"", """")",""
"string","str-0x28B4","","","毒ムカデ","",,"=IF(F119=I119, ""UNTRANSLATED"", """")",""
"string","str-0x28BD","","","やみムカデ","",,"=IF(F120=I120, ""UNTRANSLATED"", """")",""
"string","str-0x28C8","","","土偶ロボ","",,"=IF(F121=I121, ""UNTRANSLATED"", """")",""
"string","str-0x28D1","","","大ムカデ","",,"=IF(F122=I122, ""UNTRANSLATED"", """")",""
"string","str-0x28DA","","","沼ボウズ","",,"=IF(F123=I123, ""UNTRANSLATED"", """")",""
"string","str-0x28E3","","","土偶ロボ改","",,"=IF(F124=I124, ""UNTRANSLATED"", """")",""
"string","str-0x28EE","","","キマイラー","",,"=IF(F125=I125, ""UNTRANSLATED"", """")",""
"string","str-0x2900","","","猫又","",,"=IF(F126=I126, ""UNTRANSLATED"", """")",""
"string","str-0x290C","","","ヤト","",,"=IF(F127=I127, ""UNTRANSLATED"", """")",""
"string","str-0x2911","","","鬼岩人","",,"=IF(F128=I128, ""UNTRANSLATED"", """")",""
"string","str-0x2918","","","ヌエ","",,"=IF(F129=I129, ""UNTRANSLATED"", """")",""
"string","str-0x291D","","","ララ","",,"=IF(F130=I130, ""UNTRANSLATED"", """")",""
"string","str-0x2922","","","カラクリ兵","",,"=IF(F131=I131, ""UNTRANSLATED"", """")",""
"string","str-0x292D","","","モウリョウ","",,"=IF(F132=I132, ""UNTRANSLATED"", """")",""
"string","str-0x2938","","","大ダヌキ","",,"=IF(F133=I133, ""UNTRANSLATED"", """")",""
"string","str-0x2941","","","ゴーモン","",,"=IF(F134=I134, ""UNTRANSLATED"", """")",""
"string","str-0x294A","","","タマモ姫","",,"=IF(F135=I135, ""UNTRANSLATED"", """")",""
"string","str-0x2953","","","タマモ姫","=T(F135)","=""DUPE: ""&ADDRESS(ROW(F135), COLUMN(F135), 4)",,
"string","str-0x295C","","","キュウビ","",,"=IF(F137=I137, ""UNTRANSLATED"", """")",""
"string","str-0x2965","","","あくろう王","",,"=IF(F138=I138, ""UNTRANSLATED"", """")",""
"string","str-0x2970","","","ダンジョウ","",,"=IF(F139=I139, ""UNTRANSLATED"", """")",""
"string","str-0x297B","","","ダンジョウ","=T(F139)","=""DUPE: ""&ADDRESS(ROW(F139), COLUMN(F139), 4)",,
"string","str-0x2986","","","ダンジョウ","=T(F139)","=""DUPE: ""&ADDRESS(ROW(F139), COLUMN(F139), 4)",,
"string","str-0x2991","","","ハーメルン","",,"=IF(F142=I142, ""UNTRANSLATED"", """")",""
"string","str-0x299C","","","カーメンカーメン","",,"=IF(F143=I143, ""UNTRANSLATED"", """")",""
"string","str-0x29AD","","","カーメンカーメン","=T(F143)","=""DUPE: ""&ADDRESS(ROW(F143), COLUMN(F143), 4)",,
"string","str-0x29BE","","","マントー","",,"=IF(F145=I145, ""UNTRANSLATED"", """")",""
"string","str-0x29CE","","","ドーマン","",,"=IF(F146=I146, ""UNTRANSLATED"", """")",""
"string","str-0x29D7","","","タランチェ","",,"=IF(F147=I147, ""UNTRANSLATED"", """")",""
"string","str-0x29E2","","","ゴーヨック","",,"=IF(F148=I148, ""UNTRANSLATED"", """")",""
"string","str-0x29ED","","","カーミラ","",,"=IF(F149=I149, ""UNTRANSLATED"", """")",""
"string","str-0x29F6","","","ムテキオー","",,"=IF(F150=I150, ""UNTRANSLATED"", """")",""
"string","str-0x2A01","","","水王丸","",,"=IF(F151=I151, ""UNTRANSLATED"", """")",""
"string","str-0x2A08","","","クラーケン","",,"=IF(F152=I152, ""UNTRANSLATED"", """")",""
"string","str-0x2A13","","","泥黒鬼","",,"=IF(F153=I153, ""UNTRANSLATED"", """")",""
"string","str-0x2A1A","","","暗鉄鬼","",,"=IF(F154=I154, ""UNTRANSLATED"", """")",""
"string","str-0x2A21","","","銀老鬼","",,"=IF(F155=I155, ""UNTRANSLATED"", """")",""
"string","str-0x2A28","","","金剛鬼","",,"=IF(F156=I156, ""UNTRANSLATED"", """")",""
"string","str-0x2A2F","","","幻王丸","",,"=IF(F157=I157, ""UNTRANSLATED"", """")",""
"string","str-0x2A36","","","ベリエル","",,"=IF(F158=I158, ""UNTRANSLATED"", """")",""
"string","str-0x2A3F","","","マサカド","",,"=IF(F159=I159, ""UNTRANSLATED"", """")",""
"string","str-0x2A48","","","ルシフェラー","",,"=IF(F160=I160, ""UNTRANSLATED"", """")",""
"string","str-0x2A55","","","新カラクリ兵","",,"=IF(F161=I161, ""UNTRANSLATED"", """")",""
"string","str-0x2A62","","","タヌキの金太","",,"=IF(F162=I162, ""UNTRANSLATED"", """")",""
"string","str-0x2A6F","","","タヌキボクデン","",,"=IF(F163=I163, ""UNTRANSLATED"", """")",""
"string","str-0x2A7E","","","タヌキジライア","",,"=IF(F164=I164, ""UNTRANSLATED"", """")",""
"string","str-0x2A8D","","","タヌキ黄門","",,"=IF(F165=I165, ""UNTRANSLATED"", """")",""
"string","str-0x2A98","","","タヌキガマ仙人","",,"=IF(F166=I166, ""UNTRANSLATED"", """")",""
"string","str-0x2AA7","","","大ダヌキ","=T(F133)","=""DUPE: ""&ADDRESS(ROW(F133), COLUMN(F133), 4)",,
"string","str-0x2AB0","","","ゴーヨック","=T(F148)","=""DUPE: ""&ADDRESS(ROW(F148), COLUMN(F148), 4)",,
"string","str-0x2ABB","","","キュウビの霊","",,"=IF(F169=I169, ""UNTRANSLATED"", """")",""
"string","str-0x2AC8","","","ハーメルンの霊","",,"=IF(F170=I170, ""UNTRANSLATED"", """")",""
"string","str-0x2AD7","","","カーメンカーメンの霊","",,"=IF(F171=I171, ""UNTRANSLATED"", """")",""
"string","str-0x2AEC","","","マントーの霊","",,"=IF(F172=I172, ""UNTRANSLATED"", """")",""
"string","str-0x2AF9","","","ドーマンの霊","",,"=IF(F173=I173, ""UNTRANSLATED"", """")",""
"string","str-0x2B06","","","タランチェの霊","",,"=IF(F174=I174, ""UNTRANSLATED"", """")",""
"string","str-0x2B15","","","ゴーヨックの霊","",,"=IF(F175=I175, ""UNTRANSLATED"", """")",""
"string","str-0x2B24","","","カーミラの霊","",,"=IF(F176=I176, ""UNTRANSLATED"", """")",""
"string","str-0x2B31","","","ムテキオー","=T(F150)","=""DUPE: ""&ADDRESS(ROW(F150), COLUMN(F150), 4)",,
"string","str-0x2B3C","","","クラーケンの霊","",,"=IF(F178=I178, ""UNTRANSLATED"", """")",""
"string","str-0x2B4B","","","ベリエルの霊","",,"=IF(F179=I179, ""UNTRANSLATED"", """")",""
"string","str-0x2B58","","","邪神斎","",,"=IF(F180=I180, ""UNTRANSLATED"", """")",""
"string","str-0x2B5F","","","ルシフェラー","=T(F160)","=""DUPE: ""&ADDRESS(ROW(F160), COLUMN(F160), 4)",,
"string","str-0x2B6C","","","ボクデン","",,"=IF(F182=I182, ""UNTRANSLATED"", """")",""
"string","str-0x2B75","","","ムサシ","",,"=IF(F183=I183, ""UNTRANSLATED"", """")",""
"string","str-0x2B7C","","","ジュウベイ","",,"=IF(F184=I184, ""UNTRANSLATED"", """")",""
"string","str-0x2B87","","","シュウサク","",,"=IF(F185=I185, ""UNTRANSLATED"", """")",""
"string","str-0x2B92","","","水魔人","=T(F113)","=""DUPE: ""&ADDRESS(ROW(F113), COLUMN(F113), 4)",,
"string","str-0x2B99","","","カラクリ兵","=T(F131)","=""DUPE: ""&ADDRESS(ROW(F131), COLUMN(F131), 4)",,
"string","str-0x2BA4","","","ゴーモンの霊","",,"=IF(F188=I188, ""UNTRANSLATED"", """")",""
"string","str-0x2BB1","","","タヌキの金太","=T(F162)","=""DUPE: ""&ADDRESS(ROW(F162), COLUMN(F162), 4)",,
"string","str-0x2BBE","","","ムテキオーの霊","",,"=IF(F190=I190, ""UNTRANSLATED"", """")",""
